date,open,close,high,low,volume,mv10,mv20,vol10,vol20,rsi5,rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction,ret,ret_cur,ret_lag1,ret_lag2
2016-1-11,3303.12,3192.45,3342.48,3192.45,174638387,3532.307,3660.735,208.853547,201.7509357,24.78226158,18.25714016,-2.023296869,0.621674077,-6.075107087,-3.299354343,3267.450024,3660.735,4054.019976,-0.095350736,1,0.00728594,-0.050307,0.020392304,-0.06933423
2016-1-12,3214.82,3215.71,3242.25,3174.55,128225796,3481.115,3635.9545,218.1881487,224.3789447,26.76101129,19.20905534,-2.950412713,0.109113335,-7.459552329,-4.608463889,3198.559414,3635.9545,4073.349586,0.019605371,-2,-0.018605533,0.00728594,-0.050307,0.020392304
2016-1-13,3240.48,3155.88,3257.3,3155.88,120666494,3420.516,3609.029,215.6866713,248.0587232,16.01246437,18.36260331,-3.973324232,-0.529190581,-8.014157983,-5.821015586,3125.473528,3609.029,4092.584472,0.031440521,2,0.020815113,-0.018605533,0.00728594,-0.050307
2016-1-14,3076.64,3221.57,3226.66,3072.04,134537671,3366.155,3585.8355,185.5687103,261.8413079,40.54587478,23.60909699,-4.732293753,-1.26686034,-8.443891847,-6.875112924,3075.412824,3585.8355,4096.258176,0.143172691,-2,-0.031922324,0.020815113,-0.018605533,0.00728594
2016-1-15,3200.89,3118.73,3216.8,3101.05,124601779,3304.928,3553.9775,149.2728738,278.3056737,21.14182492,21.12023635,-5.699187103,-2.092208617,-9.315769645,-7.861695778,3011.459867,3553.9775,4096.495133,0.098863269,1,0.00384772,-0.031922324,0.020815113,-0.018605533
2016-1-18,3068.23,3130.73,3165.62,3066.73,101128386,3270.96,3522.1185,146.0456238,288.7995413,38.29375616,23.98130874,-6.681594572,-2.966625315,-9.15925823,-8.478526007,2959.144553,3522.1185,4085.092447,0.152391996,2,0.029510689,0.00384772,-0.031922324,0.020815113
2016-1-19,3132.7,3223.12,3227.91,3119.22,127653893,3245.394,3489.976,126.7224561,284.2535718,51.11344853,27.64912339,-7.484784063,-3.876359421,-8.889303864,-8.764476314,2935.863779,3489.976,4044.088221,0.259204012,-2,-0.015121994,0.029510689,0.00384772,-0.031922324
2016-1-20,3204.22,3174.38,3225.95,3154.43,130650504,3208.851,3454.8585,74.18859338,277.2571646,52.87570727,26.38009339,-7.642448784,-4.694912744,-8.037912407,-8.769227199,2914.384787,3454.8585,3995.332213,0.240525308,-2,-0.02930651,-0.015121994,0.029510689,0.00384772
2016-1-21,3136.38,3081.35,3202.54,3081.35,111189733,3187.548,3415.607,77.4156484,271.4390715,29.91117479,25.19454139,-7.966061329,-5.461489269,-7.54306001,-8.589060831,2886.474839,3415.607,3944.739161,0.184146018,2,0.010420757,-0.02930651,-0.015121994,0.029510689
2016-1-22,3114.9,3113.46,3132.17,3053.96,89951087,3162.738,3379.81,50.54386232,261.004525,49.05307795,33.48997697,-8.404830411,-6.170548551,-6.743109397,-8.074528782,2871.018514,3379.81,3888.601486,0.238252302,1,0.004955901,0.010420757,-0.02930651,-0.015121994
