,0,1
367,20031016,755114
368,20031023,744462
369,20031030,748158
370,20031106,745015
371,20031113,746501
372,20031120,745433
373,20031204,750878
374,20031211,757481
375,20031218,754812
376,20040108,756718
377,20040115,753699
378,20040122,776717
379,20040129,756161
380,20040205,755041
381,20040212,751883
382,20040219,759651
383,20040226,751555
384,20040304,755763
385,20040311,750845
386,20040318,761529
387,20040325,752393
388,20040401,761606
389,20040408,754960
390,20040415,764605
391,20040422,758849
392,20040429,773792
393,20040506,759711
394,20040513,765711
395,20040520,757791
396,20040527,772033
397,20040603,765042
398,20040610,773171
399,20040617,762834
400,20040624,776283
401,20040701,780624
402,20040708,779227
403,20040715,776618
404,20040722,777861
405,20040729,775026
406,20040805,773219
407,20040812,770418
408,20040819,768775
409,20040826,776634
410,20040902,786503
411,20040909,789849
412,20040916,790385
413,20040923,783391
414,20040930,787605
415,20041007,783093
416,20041014,796811
417,20041021,786279
418,20041028,792661
419,20041104,791903
420,20041118,795509
421,20041202,808553
422,20041209,810013
423,20041216,808558
424,20041223,812859
425,20041230,812478
426,20050106,817267
427,20050113,800032
428,20050120,808544
429,20050127,808862
430,20050203,806368
431,20050210,798942
432,20050217,797286
433,20050224,806272
434,20050310,801005
435,20050317,808987
436,20050324,798889
437,20050331,809365
438,20050407,799170
439,20050414,807557
440,20050421,803641
441,20050428,811656
442,20050505,804262
443,20050512,810230
444,20050519,803428
445,20050526,812060
446,20050602,819268
447,20050609,816117
448,20050616,813159
449,20050623,812402
450,20050630,812064
451,20050707,823551
452,20050714,810870
453,20050721,818823
454,20050728,816294
455,20050804,820910
456,20050811,810638
457,20050818,815942
458,20050825,813527
459,20050901,825483
460,20050908,824766
461,20050915,825917
462,20050922,815266
463,20051006,819564
464,20051013,828749
465,20051020,816745
466,20051027,821604
467,20051103,817102
468,20051110,827552
469,20051117,825885
470,20051201,837752
471,20051208,835951
472,20051215,833661
473,20051222,851030
474,20051229,850414
475,20060105,854566
476,20060112,832075
477,20060119,838775
