date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,token
2016-12-14,3399.41,3412.28,3378.95,3378.27,1240077.5,-26.09,-0.77,3431.402,3465.531,3477.034,1400535.67,1487520.61,1562300.91,0
2016-12-13,3394.21,3416.21,3405.04,3370.6,1211051.0,-4.14,-0.12,3450.762,3481.436,3479.565,1381210.37,1542073.04,1565201.29,0
2016-12-12,3489.27,3495.8,3409.18,3400.79,1874677.5,-84.52,-2.42,3461.584,3497.336,3480.807,1370058.35,1657886.29,1571931.91,0
2016-12-09,3464.87,3507.93,3493.7,3461.76,1503033.12,23.56,0.68,3473.63,3509.926,3481.861,1356827.55,1677794.03,1584821.58,0
2016-12-08,3481.81,3484.34,3470.14,3466.51,1173839.25,-5.61,-0.16,3480.68,3512.686,3478.037,1448931.88,1681112.21,1609060.68,0
2016-12-07,3458.37,3475.75,3475.75,3445.76,1143451.0,16.6,0.48,3499.66,3514.546,3474.06,1574505.55,1709474.59,1617721.48,0
2016-12-06,3466.24,3477.59,3459.15,3456.81,1155290.88,-10.26,-0.3,3512.11,3514.444,3467.925,1702935.7,1757517.99,1630103.96,0
2016-12-05,3473.69,3496.88,3469.41,3457.34,1808523.5,-59.54,-1.69,3533.088,3515.365,3463.523,1945714.22,1810512.35,1623913.56,0
2016-12-02,3559.77,3562.55,3528.95,3516.79,1963554.75,-36.09,-1.01,3546.222,3512.535,3457.883,1998760.5,1776094.53,1583426.38,0
2016-12-01,3543.96,3575.97,3565.04,3543.25,1801707.62,27.04,0.76,3544.692,3501.386,3449.144,1913292.55,1695690.25,1537283.47,0
2016-11-30,3557.64,3567.07,3538.0,3527.02,1785601.75,-26.04,-0.73,3529.432,3488.536,3439.146,1844443.63,1637081.21,1510309.84,0
2016-11-29,3525.9,3583.72,3564.04,3521.38,2369183.5,28.96,0.82,3516.778,3477.695,3428.914,1812100.28,1588329.55,1466628.3,0
2016-11-28,3538.68,3553.36,3535.08,3528.32,2073754.88,13.78,0.39,3497.642,3464.278,3418.664,1675310.48,1485977.53,1385638.23,0
2016-11-25,3490.04,3521.3,3521.3,3463.95,1536215.0,32.56,0.93,3478.848,3453.795,3408.724,1553428.55,1491849.14,1317626.91,0
2016-11-24,3468.81,3508.16,3488.74,3467.01,1457463.0,14.01,0.4,3458.08,3443.387,3399.666,1478087.95,1537009.14,1287382.82,0
2016-11-23,3473.89,3492.96,3474.73,3465.76,1623885.0,6.37,0.18,3447.64,3433.574,3392.513,1429718.8,1525968.38,1253324.59,0
2016-11-22,3443.22,3469.22,3468.36,3443.22,1685234.5,27.25,0.79,3438.612,3421.406,3386.517,1364558.82,1502689.94,1221142.74,0
2016-11-21,3412.65,3463.14,3441.11,3412.08,1464345.25,23.65,0.69,3430.914,3411.682,3381.471,1296644.57,1437314.77,1192476.86,0
2016-11-18,3437.49,3443.12,3417.46,3413.27,1159512.0,-19.08,-0.56,3428.742,3403.23,3377.795,1430269.72,1390758.23,1195766.77,0
2016-11-17,3423.47,3437.67,3436.54,3412.88,1215617.25,6.95,0.2,3428.694,3396.901,3373.309,1595930.32,1378876.69,1192683.76,0
2016-11-16,3432.43,3435.64,3429.59,3419.24,1298085.12,-0.28,-0.01,3419.508,3389.756,3367.412,1622217.95,1383538.46,1171522.33,0
2016-11-15,3428.87,3434.92,3429.87,3415.99,1345663.25,-0.38,-0.01,3404.2,3380.132,3361.745,1640821.05,1344927.06,1157201.93,0
2016-11-14,3409.22,3452.62,3430.25,3408.14,2132471.0,13.03,0.38,3392.45,3373.05,3356.317,1577984.96,1285298.93,1141349.13,0
2016-11-11,3387.95,3422.67,3417.22,3382.89,1987815.0,26.61,0.79,3377.718,3363.653,3348.699,1351246.74,1143404.69,1077782.33,0
2016-11-10,3374.91,3403.02,3390.61,3374.91,1347055.38,37.56,1.12,3365.108,3355.944,3343.13,1161823.05,1037756.5,1019549.72,0
2016-11-09,3370.6,3373.1,3353.05,3322.08,1391100.62,-18.07,-0.54,3360.004,3351.453,3338.732,1144858.97,980680.81,992809.05,0
2016-11-08,3367.7,3383.92,3371.12,3361.13,1031482.81,14.53,0.43,3356.064,3351.628,3336.08,1049033.06,939595.54,957588.91,0
2016-11-07,3353.44,3362.74,3356.59,3342.31,998779.88,2.42,0.07,3353.65,3351.261,3332.853,992612.9,947638.94,949871.35,0
2016-11-04,3362.21,3377.64,3354.17,3348.43,1040696.56,-10.92,-0.33,3349.588,3352.36,3329.716,935562.65,1000775.31,940191.98,0
2016-11-03,3326.9,3379.99,3365.09,3324.84,1262235.0,31.74,0.95,3346.78,3349.717,3324.672,913689.95,1006490.83,910646.17,0
2016-11-02,3350.71,3356.4,3333.35,3331.38,911971.06,-25.7,-0.77,3342.902,3345.068,3318.637,816502.65,959506.19,875260.69,0
2016-11-01,3338.71,3359.39,3359.05,3334.46,749382.0,22.77,0.68,3347.192,3343.357,3313.514,830158.01,969476.81,852025.89,0
2016-10-31,3332.41,3340.47,3336.28,3317.33,713528.62,-3.85,-0.12,3348.872,3339.585,3307.599,902664.99,997399.32,843787.06,0
2016-10-28,3347.14,3370.75,3340.13,3337.29,931333.06,-5.57,-0.17,3355.132,3333.745,3301.799,1065987.96,1012159.97,843336.73,0
2016-10-27,3351.46,3352.35,3345.7,3335.13,776298.5,-9.1,-0.27,3352.654,3330.317,3298.576,1099291.7,1001342.93,825767.07,0
2016-10-26,3365.2,3367.83,3354.8,3349.57,980247.88,-12.65,-0.38,3347.234,3326.012,3295.847,1102509.74,1004937.28,824828.92,0
2016-10-25,3367.48,3373.91,3367.45,3356.59,1111916.88,-0.13,-0.0,3339.522,3320.533,3291.439,1108795.61,975582.28,805388.01,0
2016-10-24,3332.51,3382.83,3367.58,3330.97,1530143.5,39.84,1.2,3330.298,3314.444,3285.937,1092133.66,952103.75,776184.27,0
2016-10-21,3315.72,3341.56,3327.74,3309.18,1097851.75,9.14,0.28,3312.358,3307.073,3280.714,958331.97,879608.66,729092.64,0
2016-10-20,3317.18,3324.9,3318.6,3312.17,792388.69,2.36,0.07,3307.98,3299.627,3276.263,903394.16,814801.51,709416.4,0
2016-10-19,3323.3,3332.52,3316.24,3309.83,1011677.25,-5.09,-0.15,3304.79,3292.206,3273.35,907364.82,791015.2,703387.11,0
2016-10-18,3272.68,3321.33,3321.33,3272.68,1028607.12,43.45,1.33,3301.544,3283.671,3270.668,842368.94,734574.97,714262.09,0
2016-10-17,3305.96,3309.01,3277.88,3271.54,861135.06,-27.97,-0.85,3298.59,3275.613,3270.503,812073.84,690174.81,704160.25,0
2016-10-14,3298.73,3306.69,3305.85,3285.73,823162.69,3.2,0.1,3301.788,3269.853,3273.587,800885.35,674513.49,697061.58,0
2016-10-13,3299.16,3307.41,3302.65,3292.4,812242.0,2.64,0.08,3291.274,3266.835,3275.336,726208.85,650191.21,707373.5,0
2016-10-12,3299.14,3302.56,3300.01,3289.75,686697.81,-6.55,-0.2,3279.622,3265.682,3277.335,674665.57,644720.55,715903.4,0
2016-10-11,3296.87,3308.0,3306.56,3292.88,877131.62,12.69,0.39,3265.798,3262.345,3278.318,626781.0,635193.75,720714.74,0
2016-10-10,3265.36,3294.64,3293.87,3258.96,805192.62,40.59,1.25,3252.636,3257.429,3278.695,568275.77,600264.79,718254.06,0
2016-09-30,3240.18,3260.94,3253.28,3239.04,449780.22,8.89,0.27,3237.918,3254.354,3279.081,548141.63,578576.61,720468.04,0
2016-09-29,3234.86,3257.77,3244.39,3234.8,554525.56,13.5,0.42,3242.396,3252.899,3282.806,574173.56,604031.29,737764.43,0
2016-09-28,3243.65,3243.65,3230.89,3228.0,447274.97,-9.86,-0.3,3251.742,3254.493,3286.187,614775.53,615759.02,747901.15,0
2016-09-27,3214.87,3240.78,3240.75,3214.44,584605.5,20.47,0.64,3258.892,3257.664,3290.031,643606.5,693949.21,764055.57,0
2016-09-26,3267.69,3267.69,3220.28,3220.28,704521.88,-55.39,-1.69,3262.222,3265.393,3293.348,632253.81,718145.7,775590.64,0
2016-09-23,3292.28,3293.92,3275.67,3275.03,579939.88,-15.45,-0.47,3270.79,3277.321,3297.783,609011.6,719609.67,790659.12,0
2016-09-22,3281.47,3303.2,3291.12,3277.98,757535.44,24.48,0.75,3263.402,3283.836,3300.492,633889.02,764555.79,802257.84,0
2016-09-21,3257.71,3270.9,3266.64,3254.32,591429.81,9.24,0.28,3257.244,3288.987,3303.028,616742.51,787086.24,810843.33,0
2016-09-20,3264.66,3265.04,3257.4,3252.39,527842.06,-5.72,-0.17,3256.436,3294.291,3306.535,744291.93,806235.74,835247.34,0
2016-09-19,3242.74,3264.9,3263.12,3242.74,588310.81,24.39,0.75,3268.564,3299.962,3311.916,804037.59,836243.33,868836.0,0
2016-09-14,3245.74,3255.0,3238.73,3231.34,704327.0,-21.6,-0.66,3283.852,3303.808,3316.985,830207.74,862359.47,910610.54,0
2016-09-13,3265.34,3269.22,3260.33,3246.39,671802.88,-2.27,-0.07,3304.27,3312.714,3323.701,895222.55,871497.58,944818.04,0
2016-09-12,3271.87,3276.72,3262.6,3234.57,1229176.88,-55.44,-1.67,3320.73,3317.88,3329.596,957429.98,880043.28,1009422.76,0
2016-09-09,3339.37,3344.95,3318.04,3318.04,826570.38,-21.52,-0.64,3332.146,3322.398,3336.138,868179.55,834161.92,1058235.63,0
2016-09-08,3338.01,3343.4,3339.56,3328.23,719161.56,-1.26,-0.04,3331.36,3321.303,3334.947,868449.07,833035.58,1075034.14,0
2016-09-07,3344.07,3357.36,3340.82,3337.75,1029401.06,-1.81,-0.05,3323.764,3318.244,3329.637,894511.2,861708.57,1089596.67,0
2016-09-06,3322.02,3347.95,3342.63,3300.13,982840.0,22.95,0.69,3321.158,3317.148,3324.763,847772.6,839959.89,1083341.8,0
2016-09-05,3321.01,3338.42,3319.68,3314.63,782924.75,5.57,0.17,3315.03,3317.068,3320.481,802656.58,834600.41,1079732.43,0
2016-09-02,3298.72,3320.43,3314.11,3295.76,827918.0,12.53,0.38,3312.65,3318.779,3316.206,800144.29,864258.95,1083924.22,0
2016-09-01,3326.74,3329.35,3301.58,3301.21,849472.19,-26.21,-0.79,3311.246,3323.87,3310.756,797622.08,901428.66,1081126.5,0
2016-08-31,3310.57,3333.97,3327.79,3304.66,795708.06,15.8,0.48,3312.724,3330.161,3305.741,828905.94,958861.62,1075405.08,0
2016-08-30,3310.32,3325.12,3311.99,3304.6,757259.88,4.21,0.13,3313.138,3334.687,3299.027,832147.19,1018138.5,1072051.73,0
2016-08-29,3306.57,3315.08,3307.78,3297.07,770363.31,0.69,0.02,3319.106,3341.313,3292.88,866544.25,1138802.25,1065272.55,0
2016-08-26,3312.5,3328.95,3307.09,3301.74,815306.94,-1.88,-0.06,3324.908,3349.877,3286.332,928373.61,1282309.34,1070256.13,0
2016-08-25,3314.08,3315.08,3308.97,3279.81,1005891.5,-20.89,-0.63,3336.494,3348.591,3281.174,1005235.25,1317032.7,1073513.21,0
2016-08-24,3341.93,3348.13,3329.86,3323.73,811914.31,-11.97,-0.36,3347.598,3341.03,3276.782,1088817.3,1317484.76,1079608.61,0
2016-08-23,3332.62,3359.65,3341.83,3324.96,929245.19,5.04,0.15,3356.236,3332.378,3271.201,1204129.81,1326723.71,1119107.23,0
2016-08-22,3364.68,3372.83,3336.79,3335.47,1079510.12,-28.23,-0.84,3363.52,3323.893,3267.589,1411060.25,1324864.44,1113170.51,0
2016-08-19,3358.56,3374.05,3365.02,3341.19,1199615.12,0.53,0.02,3374.846,3313.632,3262.294,1636245.08,1303589.48,1094296.6,0
2016-08-18,3369.95,3394.79,3364.49,3349.69,1423801.75,-8.56,-0.25,3360.688,3297.641,3255.301,1628830.15,1260824.34,1077330.41,0
2016-08-17,3377.77,3394.39,3373.05,3356.92,1388476.88,-5.2,-0.15,3334.462,3281.321,3249.703,1546152.23,1191948.54,1049142.73,0
2016-08-16,3403.38,3418.69,3378.25,3372.02,1963897.38,-15.17,-0.45,3308.52,3263.367,3242.93,1449317.6,1125964.95,1016069.52,0
2016-08-15,3303.47,3417.91,3393.42,3302.38,2205434.25,99.19,3.01,3284.266,3244.447,3236.43,1238668.64,991742.85,962318.08,0
2016-08-12,3231.81,3294.23,3294.23,3231.14,1162540.5,60.87,1.88,3252.418,3222.786,3229.859,970933.89,858202.93,907202.62,0
2016-08-11,3239.56,3274.03,3233.36,3232.61,1010412.12,-9.98,-0.31,3234.594,3213.756,3228.962,892818.52,829993.71,900408.11,0
2016-08-10,3255.18,3261.86,3243.34,3242.75,904303.75,-13.64,-0.42,3228.18,3212.534,3231.132,837744.85,841732.46,903650.4,0
2016-08-09,3232.6,3257.33,3256.98,3229.17,910652.56,22.8,0.7,3218.214,3210.024,3233.109,802612.3,911490.75,946033.26,0
2016-08-08,3199.57,3234.48,3234.18,3187.25,866760.5,29.07,0.91,3204.628,3211.285,3233.919,744817.06,901476.58,986767.74,0
2016-08-05,3201.35,3224.87,3205.11,3192.86,771963.69,3.82,0.12,3193.154,3210.956,3232.376,745471.96,885003.72,1012694.47,0
2016-08-04,3190.55,3201.55,3201.29,3170.42,735043.75,7.78,0.24,3192.918,3212.961,3231.735,767168.9,893836.48,1018963.71,0
