授权公告号,申请号,法律状态公告日1,法律状态1,法律状态信息1,法律状态公告日2,法律状态2,法律状态信息2,法律状态公告日3,法律状态3,法律状态信息3,法律状态公告日4,法律状态4,法律状态信息4
,200410002607.X,2016.12.28,专利权质押合同登记的生效、变更及注销,专利权质押合同登记的注销
,200410003720.X,2016.12.28,专利权的终止,专利权有效期届满
,2.0041E+11,2016.12.28,专利权的终止,专利权有效期届满,2016.12.28,专利权质押合同登记的生效、变更及注销,专利权质押合同登记的生效,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,200410024519.X,2016.12.28,专利权的保全及其解除,专利权保全的解除
,2.0041E+11,2016.12.28,专利权的无效宣告,专利权全部无效,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更,2016.12.28,专利权的终止,专利权有效期届满,2016.12.28,专利权的保全及其解除,专利权的保全,2016.12.28,专利权质押合同登记的生效、变更及注销,专利权质押合同登记的注销,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权的终止,未缴年费专利权终止
,200410068364.X,2016.12.28,专利权人的姓名或者名称、地址的变更,专利权人的姓名或者名称、地址的变更
,2.0041E+11,2016.12.28,文件的公告送达,文件的公告送达
,200410080512.X,2016.12.28,专利权质押合同登记的生效、变更及注销,专利权质押合同登记的注销
,2.0041E+11,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利权的保全及其解除,专利权的保全,2016.12.28,专利权的终止,未缴年费专利权终止,2016.12.28,专利权的终止,未缴年费专利权终止
,2.0048E+11,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移,2016.12.28,专利申请权、专利权的转移,专利权的转移
