open,high,close,low,volume,Adj Close
2017-08-31,3835.84,3840.2,3822.09,3800.89,1329449.38,3822.09
2017-08-30,3834.27,3854.71,3834.3,3827.86,1413528.62,3834.3
2017-08-29,3839.18,3847.93,3834.54,3825.76,1282270.75,3834.54
2017-08-28,3805.66,3866.94,3842.71,3805.66,1855763.25,3842.71
2017-08-25,3736.29,3795.97,3795.75,3736.29,1299409.0,3795.75
2017-08-24,3755.89,3765.71,3734.65,3729.09,899473.75,3734.65
2017-08-23,3747.61,3772.46,3756.09,3741.72,1049615.75,3756.09
2017-08-22,3745.75,3758.29,3752.3,3734.56,1002928.56,3752.3
2017-08-21,3731.84,3744.26,3740.99,3728.62,1003130.75,3740.99
2017-08-18,3707.19,3733.49,3724.67,3700.41,965617.06,3724.67
2017-08-17,3707.07,3722.62,3721.28,3704.41,1086562.5,3721.28
2017-08-16,3701.13,3707.14,3701.42,3679.73,1041341.44,3701.42
2017-08-15,3695.78,3719.29,3706.06,3692.28,1064448.62,3706.06
2017-08-14,3651.38,3698.37,3694.68,3651.38,1153084.5,3694.68
2017-08-11,3687.93,3700.49,3647.35,3645.09,1503874.25,3647.35
2017-08-10,3724.96,3746.86,3715.92,3688.18,1300851.25,3715.92
2017-08-09,3728.03,3739.0,3731.04,3713.57,1246799.88,3731.04
2017-08-08,3724.33,3737.33,3732.21,3718.81,1372419.25,3732.21
2017-08-07,3701.22,3730.78,3726.79,3689.96,1242315.25,3726.79
2017-08-04,3724.72,3738.73,3707.58,3707.0,1574700.62,3707.58
2017-08-03,3755.11,3766.35,3727.83,3718.44,1461539.5,3727.83
2017-08-02,3768.19,3784.35,3760.85,3759.28,1722933.88,3760.85
2017-08-01,3738.74,3770.4,3770.38,3737.1,1525465.38,3770.38
2017-07-31,3722.43,3746.52,3737.87,3713.66,1484290.38,3737.87
2017-07-28,3703.49,3725.54,3721.89,3696.78,1114113.88,3721.89
2017-07-27,3700.86,3716.69,3712.19,3672.5,1450029.0,3712.19
2017-07-26,3722.88,3738.53,3705.39,3684.18,1363252.12,3705.39
2017-07-25,3742.64,3752.16,3719.56,3713.28,1216720.62,3719.56
2017-07-24,3724.38,3755.19,3743.47,3719.85,1348687.25,3743.47
2017-07-21,3738.18,3751.69,3728.6,3722.07,1179412.25,3728.6
2017-07-20,3725.14,3750.19,3747.88,3723.07,1424100.38,3747.88
2017-07-19,3660.87,3731.05,3729.75,3658.2,1824777.88,3729.75
2017-07-18,3648.49,3667.54,3667.18,3622.04,1246220.5,3667.18
2017-07-17,3700.62,3716.47,3663.56,3621.37,1788216.0,3663.56
2017-07-14,3682.62,3703.09,3703.09,3672.74,1055140.0,3703.09
2017-07-13,3656.35,3690.48,3686.92,3652.57,1256695.5,3686.92
2017-07-12,3672.63,3691.58,3658.82,3640.59,1222877.88,3658.82
2017-07-11,3646.88,3701.21,3670.81,3645.99,1187608.25,3670.81
2017-07-10,3647.94,3667.85,3653.69,3641.53,1205919.12,3653.69
2017-07-07,3647.64,3657.11,3655.93,3631.87,1037355.0,3655.93
2017-07-06,3654.56,3666.77,3660.1,3629.56,1023792.44,3660.1
2017-07-05,3611.9,3660.73,3659.68,3610.46,882324.25,3659.68
2017-07-04,3646.83,3646.85,3619.98,3611.69,950714.12,3619.98
2017-07-03,3667.23,3667.6,3650.85,3633.78,888208.62,3650.85
2017-06-30,3654.73,3669.76,3666.8,3646.23,815100.25,3666.8
2017-06-29,3649.25,3669.13,3668.83,3644.73,855895.0,3668.83
2017-06-28,3664.16,3672.19,3646.17,3644.03,979208.56,3646.17
2017-06-27,3665.58,3676.53,3674.72,3648.76,975587.0,3674.72
2017-06-26,3627.02,3671.94,3668.09,3627.02,1346380.0,3668.09
2017-06-23,3583.44,3623.24,3622.88,3569.32,1051291.38,3622.88
2017-06-22,3583.56,3635.53,3590.34,3581.34,1355269.88,3590.34
2017-06-21,3567.13,3587.99,3587.96,3545.57,878598.25,3587.96
2017-06-20,3560.79,3563.7,3546.49,3539.51,805095.56,3546.49
2017-06-19,3520.06,3554.91,3553.67,3520.06,797971.44,3553.67
2017-06-16,3522.97,3536.14,3518.76,3514.39,764527.06,3518.76
2017-06-15,3530.75,3542.28,3528.79,3508.95,826325.38,3528.79
2017-06-14,3571.25,3571.25,3535.3,3530.27,838107.81,3535.3
2017-06-13,3569.16,3584.41,3582.27,3559.21,751771.38,3582.27
2017-06-12,3570.22,3603.69,3574.39,3565.9,903811.69,3574.39
2017-06-09,3561.24,3590.89,3576.17,3560.63,1011882.62,3576.17
2017-06-08,3531.24,3562.27,3560.98,3528.18,902249.06,3560.98
2017-06-07,3493.88,3537.09,3533.87,3491.13,1044199.69,3533.87
2017-06-06,3464.38,3492.88,3492.88,3460.45,640893.88,3492.88
2017-06-05,3480.17,3484.12,3468.75,3462.31,797381.5,3468.75
2017-06-02,3491.59,3498.12,3486.51,3470.2,826680.12,3486.51
2017-06-01,3485.22,3499.81,3497.74,3476.43,1031277.25,3497.74
2017-05-31,3495.07,3515.08,3492.88,3474.92,1048297.44,3492.88
2017-05-26,3479.62,3498.31,3480.43,3473.04,1032411.5,3480.43
2017-05-25,3414.4,3490.42,3485.66,3413.22,1307216.25,3485.66
2017-05-24,3409.72,3424.17,3424.17,3383.89,835531.62,3424.17
2017-05-23,3405.03,3434.77,3424.19,3401.53,1169110.38,3424.19
2017-05-22,3400.59,3424.18,3411.24,3391.17,925395.56,3411.24
2017-05-19,3395.23,3405.94,3403.85,3392.38,714735.25,3403.85
2017-05-18,3387.67,3409.93,3398.11,3383.94,857595.88,3398.11
2017-05-17,3423.19,3433.97,3409.97,3408.15,997368.38,3409.97
2017-05-16,3390.93,3428.85,3428.65,3373.55,1052424.12,3428.65
2017-05-15,3391.59,3406.58,3399.19,3391.59,829776.12,3399.19
2017-05-12,3350.94,3387.27,3385.38,3349.17,933864.69,3385.38
2017-05-11,3322.95,3359.6,3356.65,3312.89,1092528.88,3356.65
